alpha,closed_em,open_em,overall_em,n_closed,n_open,n_total,open_judge,overall_judge
0.0,54.04411764705882,11.797752808988763,37.333333333333336,272,178,450,28.651685393258425,44.0
0.05,53.30882352941176,11.797752808988763,36.888888888888886,272,178,450,29.775280898876407,44.0
0.1,52.94117647058824,11.797752808988763,36.666666666666664,272,178,450,29.775280898876407,43.77777777777778
0.15,52.20588235294118,11.797752808988763,36.22222222222222,272,178,450,29.775280898876407,43.333333333333336
0.2,52.57352941176471,11.797752808988763,36.44444444444444,272,178,450,29.775280898876407,43.55555555555555
0.3,54.04411764705882,12.359550561797752,37.55555555555555,272,178,450,30.89887640449438,44.888888888888886
0.5,54.04411764705882,11.235955056179774,37.111111111111114,272,178,450,30.337078651685395,44.666666666666664
